,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Kamau Thugge,"{  ""Date_of_birth"": ""1957-08-01"",  ""Bachelor_institution"": ""Colorado College"",  ""Bachelor_year"": ""1980"",  ""PhD_institution"": ""Johns Hopkins University"",  ""PhD_year"": ""1990"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Kamau_Thugge"",    ""Bachelor_institution"": ""https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812"",    ""Bachelor_year"": ""https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812"",    ""PhD_institution"": ""https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812"",    ""PhD_year"": ""https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812""  }} ","{'Date_of_birth': '1957-08-01', 'Bachelor_institution': 'Colorado College', 'Bachelor_year': '1980', 'PhD_institution': 'Johns Hopkins University', 'PhD_year': '1990', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD in Economics', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Kamau_Thugge', 'Bachelor_institution': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'Bachelor_year': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'PhD_institution': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'PhD_year': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812'}}",1957-08-01,Colorado College,1980,Johns Hopkins University,1990,,PhD in Economics,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Kamau_Thugge', 'Bachelor_institution': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'Bachelor_year': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'PhD_institution': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'PhD_year': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.citizen.digital/news/meet-the-next-cbk-governor-kamau-thugge-n319812'}",True,1957-08-01,1957-08-01 00:00:00
Kalo Hezi,"{  ""Date_of_birth"": ""1952"",  ""Bachelor_institution"": ""University of Haifa"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""National Security College"",  ""Sources"": {    ""Date_of_birth"": ""https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/"",    ""Bachelor_institution"": ""https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/""  }} ","{'Date_of_birth': '1952', 'Bachelor_institution': 'University of Haifa', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'National Security College', 'Sources': {'Date_of_birth': 'https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/', 'Bachelor_institution': 'https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/'}}",1952,University of Haifa,,,,,National Security College,"{'Date_of_birth': 'https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/', 'Bachelor_institution': 'https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.boi.org.il/en/communication-and-publications/press-releases/hezi-kalo-announces-that-he-is-stepping-down-as-director-general-of-the-bank-of-israel-after-12-years/'}",False,1952-01-01,1952-01-01 00:00:00
Shri Harun R Khan,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""BJB College, Bhubaneswar"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master of Philosophy"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Harun_Rashid_Khan"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Harun_Rashid_Khan""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'BJB College, Bhubaneswar', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master of Philosophy', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Harun_Rashid_Khan', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Harun_Rashid_Khan'}}",,"BJB College, Bhubaneswar",,,,,Master of Philosophy,"{'Date_of_birth': '', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Harun_Rashid_Khan', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Harun_Rashid_Khan'}",False,,
Sheikh Bandar bin Saud Al Thani,"{  ""Date_of_birth"": ""1977"",  ""Bachelor_institution"": ""American University, Washington, USA"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Executive Master of Business Administration (EMBA)"",  ""Sources"": {    ""Date_of_birth"": ""https://www.qcb.gov.qa/en/pages/governor.aspx"",    ""Bachelor_institution"": ""https://www.qcb.gov.qa/en/pages/governor.aspx"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.qcb.gov.qa/en/pages/governor.aspx""  }} ","{'Date_of_birth': '1977', 'Bachelor_institution': 'American University, Washington, USA', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Executive Master of Business Administration (EMBA)', 'Sources': {'Date_of_birth': 'https://www.qcb.gov.qa/en/pages/governor.aspx', 'Bachelor_institution': 'https://www.qcb.gov.qa/en/pages/governor.aspx', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.qcb.gov.qa/en/pages/governor.aspx'}}",1977,"American University, Washington, USA",,,,,Executive Master of Business Administration (EMBA),"{'Date_of_birth': 'https://www.qcb.gov.qa/en/pages/governor.aspx', 'Bachelor_institution': 'https://www.qcb.gov.qa/en/pages/governor.aspx', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.qcb.gov.qa/en/pages/governor.aspx'}",False,1977-01-01,1977-01-01 00:00:00
Kerik Vanikkul,"{  ""Date_of_birth"": ""1955"",  ""Bachelor_institution"": ""Chulalongkorn University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Bachelor's Degree"",  ""Sources"": {    ""Date_of_birth"": ""https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html"",    ""Bachelor_institution"": ""https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html""  }} ","{'Date_of_birth': '1955', 'Bachelor_institution': 'Chulalongkorn University', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Bachelor's Degree"", 'Sources': {'Date_of_birth': 'https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html', 'Bachelor_institution': 'https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html'}}",1955,Chulalongkorn University,,,,,Bachelor's Degree,"{'Date_of_birth': 'https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html', 'Bachelor_institution': 'https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.scb.co.th/en/about-us/board-of-director/mr-krirk-vanikkul.html'}",False,1955-01-01,1955-01-01 00:00:00
Kee Rui Xiong,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": ""Stanford University"",  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""Master of Finance"",  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": ""https://contactout.com/rui-xiong-kee-97560"",    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://contactout.com/rui-xiong-kee-97560""  }} ","{'Date_of_birth': None, 'Bachelor_institution': 'Stanford University', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'Master of Finance', 'Sources': {'Date_of_birth': None, 'Bachelor_institution': 'https://contactout.com/rui-xiong-kee-97560', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://contactout.com/rui-xiong-kee-97560'}}",,Stanford University,,,,,Master of Finance,"{'Date_of_birth': None, 'Bachelor_institution': 'https://contactout.com/rui-xiong-kee-97560', 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': 'https://contactout.com/rui-xiong-kee-97560'}",False,,
Keat Chhon,"{  ""Date_of_birth"": ""1934-08-11"",  ""Bachelor_institution"": ""Ecole Nationale Supérieure du Génie Maritime"",  ""Bachelor_year"": ""1959"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Nuclear Engineering"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Keat_Chhon"",    ""Bachelor_institution"": ""https://www.weforum.org/people/keat-chhon/"",    ""Bachelor_year"": ""https://www.uc.edu.kh/ucb/HONORARY%20DOCTORAL%20DEGREE%20RECIPIENTS%20IN%202005%20/2005-11-30%2002%3A37%3A45/506/"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.weforum.org/people/keat-chhon/""  }} ","{'Date_of_birth': '1934-08-11', 'Bachelor_institution': 'Ecole Nationale Supérieure du Génie Maritime', 'Bachelor_year': '1959', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Nuclear Engineering', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Keat_Chhon', 'Bachelor_institution': 'https://www.weforum.org/people/keat-chhon/', 'Bachelor_year': 'https://www.uc.edu.kh/ucb/HONORARY%20DOCTORAL%20DEGREE%20RECIPIENTS%20IN%202005%20/2005-11-30%2002%3A37%3A45/506/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.weforum.org/people/keat-chhon/'}}",1934-08-11,Ecole Nationale Supérieure du Génie Maritime,1959,,,,Nuclear Engineering,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Keat_Chhon', 'Bachelor_institution': 'https://www.weforum.org/people/keat-chhon/', 'Bachelor_year': 'https://www.uc.edu.kh/ucb/HONORARY%20DOCTORAL%20DEGREE%20RECIPIENTS%20IN%202005%20/2005-11-30%2002%3A37%3A45/506/', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.weforum.org/people/keat-chhon/'}",False,1934-08-11,1934-08-11 00:00:00
Kristfer Gunnlaugsson,"{  ""Date_of_birth"": None,  ""Bachelor_institution"": None,  ""Bachelor_year"": None,  ""PhD_institution"": None,  ""PhD_year"": None,  ""PhD_thesis_director"": None,  ""highest_level_of_study"": None,  ""Sources"": {    ""Date_of_birth"": None,    ""Bachelor_institution"": None,    ""Bachelor_year"": None,    ""PhD_institution"": None,    ""PhD_year"": None,    ""PhD_thesis_director"": None,    ""highest_level_of_study"": None  }} ","{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None, 'Sources': {'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None}}",,,,,,,,"{'Date_of_birth': None, 'Bachelor_institution': None, 'Bachelor_year': None, 'PhD_institution': None, 'PhD_year': None, 'PhD_thesis_director': None, 'highest_level_of_study': None}",False,,
Koh yong Guan,"{  ""Date_of_birth"": ""1946-06-09"",  ""Bachelor_institution"": ""University of Toronto"",  ""Bachelor_year"": ""1970"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master in Business Administration"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Koh_Yong_Guan"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Koh_Yong_Guan"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Koh_Yong_Guan"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Koh_Yong_Guan""  }} ","{'Date_of_birth': '1946-06-09', 'Bachelor_institution': 'University of Toronto', 'Bachelor_year': '1970', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master in Business Administration', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan'}}",1946-06-09,University of Toronto,1970,,,,Master in Business Administration,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Koh_Yong_Guan'}",False,1946-06-09,1946-06-09 00:00:00
Koh Hong Eng,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""Nanyang Technological University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master of Business Administration"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.1lod.com/speakers/hong-eng-koh"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.1lod.com/speakers/hong-eng-koh""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'Nanyang Technological University', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Master of Business Administration', 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.1lod.com/speakers/hong-eng-koh', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.1lod.com/speakers/hong-eng-koh'}}",,Nanyang Technological University,,,,,Master of Business Administration,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.1lod.com/speakers/hong-eng-koh', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.1lod.com/speakers/hong-eng-koh'}",False,,
Ko Seung-beom,"{  ""Date_of_birth"": ""1962"",  ""Bachelor_institution"": ""Seoul National University"",  ""Bachelor_year"": ""1985"",  ""PhD_institution"": ""American University"",  ""PhD_year"": ""1995"",  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.yna.co.kr/view/AEN20210805003400320"",    ""Bachelor_institution"": ""https://en.yna.co.kr/view/AEN20210805003400320"",    ""Bachelor_year"": ""https://en.yna.co.kr/view/AEN20210805003400320"",    ""PhD_institution"": ""https://en.yna.co.kr/view/AEN20210805003400320"",    ""PhD_year"": ""https://en.yna.co.kr/view/AEN20210805003400320"",    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://en.yna.co.kr/view/AEN20210805003400320""  }} ","{'Date_of_birth': '1962', 'Bachelor_institution': 'Seoul National University', 'Bachelor_year': '1985', 'PhD_institution': 'American University', 'PhD_year': '1995', 'PhD_thesis_director': None, 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.yna.co.kr/view/AEN20210805003400320', 'Bachelor_institution': 'https://en.yna.co.kr/view/AEN20210805003400320', 'Bachelor_year': 'https://en.yna.co.kr/view/AEN20210805003400320', 'PhD_institution': 'https://en.yna.co.kr/view/AEN20210805003400320', 'PhD_year': 'https://en.yna.co.kr/view/AEN20210805003400320', 'PhD_thesis_director': None, 'highest_level_of_study': 'https://en.yna.co.kr/view/AEN20210805003400320'}}",1962,Seoul National University,1985,American University,1995,,PhD,"{'Date_of_birth': 'https://en.yna.co.kr/view/AEN20210805003400320', 'Bachelor_institution': 'https://en.yna.co.kr/view/AEN20210805003400320', 'Bachelor_year': 'https://en.yna.co.kr/view/AEN20210805003400320', 'PhD_institution': 'https://en.yna.co.kr/view/AEN20210805003400320', 'PhD_year': 'https://en.yna.co.kr/view/AEN20210805003400320', 'PhD_thesis_director': None, 'highest_level_of_study': 'https://en.yna.co.kr/view/AEN20210805003400320'}",True,1962-01-01,1962-01-01 00:00:00
